Dan,Mat,Paul S,Paul V,Frank,Jase,Ash
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,7.62,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,16.04,0.00,10.78,0.00
0.00,0.00,0.00,85.08,4.46,0.00,79.44
0.00,0.00,0.00,0.00,3.13,0.00,0.00
9.78,9.78,0.00,0.00,11.38,0.00,0.00
0.00,26.39,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,25.94,12.78,0.00,0.00,0.00,0.00
48.05,0.00,0.00,53.66,4.50,53.91,0.00
20.26,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,17.03,0.00,0.00,0.00
0.00,70.99,15.03,46.39,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.24,3.83,6.00,0.00,2.23,3.11,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,19.45,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
101.61,15.40,0.00,0.00,0.00,0.00,8.17
0.00,0.00,0.00,22.09,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,55.77,21.80,0.00,0.00
5.44,122.39,0.00,0.00,0.00,11.19,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,61.00,8.38,12.38,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
41.69,4.14,0.00,4.13,31.68,4.14,0.00
25.61,18.57,50.26,41.60,22.55,11.37,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.12,0.00,0.00,0.00,0.00,5.32,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
